ID Year,Year,ID Detailed Occupation,Detailed Occupation,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2020,"2020","291210","Physicians","true","true",32642,252840.1220207095,24634.472287810175,4435.22455195731,1737,"Engineering","14"
2019,"2019","1191XX","Other managers","true","true",288944,157718.2117607564,5286.049694082042,13184.339624967637,14872,"Engineering","14"
2019,"2019","151252","Software developers","true","true",320279,127143.22235925552,3436.7133226371993,13879.372360361453,15448,"Engineering","14"
2019,"2019","172051","Civil engineers","true","true",243159,100232.3803889636,3138.945747053184,12096.614267972323,12539,"Engineering","14"
2019,"2019","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",318581,109526.18922032387,2881.0737453867678,13842.611200317904,16284,"Engineering","14"
2019,"2019","291210","Physicians","true","true",34377,246885.24795648252,23797.37692668572,4551.540765679588,1841,"Engineering","14"
2018,"2018","1191XX","Other managers","true","true",289012,153156.30112244474,5084.79676312137,13185.701331715596,14659,"Engineering","14"
2018,"2018","151252","Software developers","true","true",286895,121143.34268286306,3388.0074171831334,13137.415487997936,13767,"Engineering","14"
2018,"2018","172051","Civil engineers","true","true",226973,97706.38575072806,3113.8200883312907,11687.58157474504,11490,"Engineering","14"
2018,"2018","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",308453,105944.8399042966,2752.0716769432215,13621.059083374028,15718,"Engineering","14"
2018,"2018","291210","Physicians","true","true",34519,235755.73162606102,22999.425267386545,4560.921654440165,1831,"Engineering","14"
2017,"2017","172051","Civil engineers","true","true",220528,95380.37870927955,3043.22886012361,11520.581183507675,11128,"Engineering","14"
2017,"2017","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",304693,103550.40565749787,2656.4450074347483,13537.760408248914,15499,"Engineering","14"
2016,"2016","172051","Civil engineers","true","true",212271,93576.83620937387,3029.280054095158,11303.025729445653,10721,"Engineering","14"
2016,"2016","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",297685,100823.81125350622,2606.0633172835087,13381.253438799253,15192,"Engineering","14"
2015,"2015","172051","Civil engineers","true","true",206306,91923.02670789992,3021.4882416707487,11143.186454227782,10327,"Engineering","14"
2015,"2015","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",290398,98707.7751844021,2527.08788070789,13216.582810178761,14796,"Engineering","14"
2014,"2014","172051","Civil engineers","true","true",204933,91667.81315844691,2986.111980473149,11105.964209355092,10265,"Engineering","14"
2014,"2014","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",276224,98573.1906496177,2561.562682029136,12890.449096857665,14237,"Engineering","14"
2022,"2022","1191XX","Other managers","true","true",9706,104616.32371728828,25477.320123514666,2418.69466537145,522,"Human Sciences","19"
2022,"2022","151252","Software developers","true","true",1153,106440.43625325238,31934.733744495235,833.6577010971845,57,"Human Sciences","19"
2022,"2022","172051","Civil engineers","true","true",152,84021.67105263157,104146.70593735094,302.688788861373,10,"Human Sciences","19"
2022,"2022","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",426,86989.32394366198,37388.30629457158,506.7327226500012,17,"Human Sciences","19"
2022,"2022","291210","Physicians","true","true",2330,212736.91158798285,91783.4225736443,1185.0847052565196,119,"Human Sciences","19"
2021,"2021","1191XX","Other managers","true","true",9630,103447.83966770509,26014.066430848718,2409.206546385487,510,"Human Sciences","19"
2021,"2021","151252","Software developers","true","true",1102,100668.52450090744,31381.864972832387,815.0119358230342,56,"Human Sciences","19"
2021,"2021","172051","Civil engineers","true","true",122,78567.04918032787,103858.57796871943,271.1780280424984,8,"Human Sciences","19"
2021,"2021","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",335,77287.84776119403,39610.768808988745,449.36234760413026,12,"Human Sciences","19"
2021,"2021","291210","Physicians","true","true",2361,194304.09360440492,82963.25372484679,1192.9420638002478,114,"Human Sciences","19"
2020,"2020","1191XX","Other managers","true","true",8841,96704.33944123967,25392.55916641878,2308.4080632142727,474,"Human Sciences","19"
2020,"2020","151252","Software developers","true","true",1095,94789.2200913242,31550.698653680516,812.4192851337774,57,"Human Sciences","19"
2020,"2020","172051","Civil engineers","true","true",102,75403.23529411765,115584.2450456219,247.956042411782,7,"Human Sciences","19"
2020,"2020","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",260,72968.01538461538,49922.57255961855,395.87771431864763,13,"Human Sciences","19"
2020,"2020","291210","Physicians","true","true",2277,180301.2235397453,79970.04823282608,1171.5287718809698,110,"Human Sciences","19"
2019,"2019","1191XX","Other managers","true","true",8759,88649.59789930357,21625.008598959055,2297.678204476182,478,"Human Sciences","19"
2019,"2019","151252","Software developers","true","true",1023,85315.03519061583,29576.277242463355,785.255665697052,55,"Human Sciences","19"
2019,"2019","172051","Civil engineers","true","true",96,69805.54166666667,118289.3486797537,240.55269935334994,7,"Human Sciences","19"
2019,"2019","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",262,84402.30534351146,85215.62949190811,397.39739957919244,15,"Human Sciences","19"
2019,"2019","291210","Physicians","true","true",2431,177149.89304812835,72770.38202631458,1210.496897844905,123,"Human Sciences","19"
2018,"2018","1191XX","Other managers","true","true",8583,85859.06629383666,19920.46992609481,2274.477123484699,454,"Human Sciences","19"
2018,"2018","151252","Software developers","true","true",781,83682.28937259923,36313.746626915694,686.1184789861701,46,"Human Sciences","19"
2018,"2018","172051","Civil engineers","true","true",71,94758.74647887323,89063.72284376921,206.87300720158348,6,"Human Sciences","19"
2018,"2018","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",298,86392.86577181208,74896.43997356866,423.8209770053581,15,"Human Sciences","19"
2018,"2018","291210","Physicians","true","true",2369,162759.3921485859,65797.30309267426,1194.961112188263,113,"Human Sciences","19"
2017,"2017","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",283,87633.24381625441,78887.5804271773,413.0166410464345,15,"Human Sciences","19"
2016,"2016","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",305,85595.48196721311,71149.13749838476,428.7698222277429,16,"Human Sciences","19"
2015,"2015","172051","Civil engineers","true","true",155,77032.86451612903,44282.433905483034,305.66123711374996,5,"Human Sciences","19"
2015,"2015","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",352,88084.83238636363,59469.05271143409,460.62291840929964,16,"Human Sciences","19"
2014,"2014","172051","Civil engineers","true","true",156,98910.7564102564,171480.5006421927,306.6456519485582,5,"Human Sciences","19"
2014,"2014","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",349,78335.45845272206,47269.001860183766,458.6558318959733,16,"Human Sciences","19"
2022,"2022","1191XX","Other managers","true","true",32035,170828.1422818792,19666.472698967445,4393.81117639633,1639,"Math & Statistics","27"
2022,"2022","151252","Software developers","true","true",53173,161939.4084027608,12542.398128335648,5660.364841745518,2759,"Math & Statistics","27"
2022,"2022","172051","Civil engineers","true","true",2402,128090.89800166528,39515.453938520965,1203.2554332195245,136,"Math & Statistics","27"
2022,"2022","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",6817,147379.19818101803,27072.820061903305,2027.0369923475976,339,"Math & Statistics","27"
2022,"2022","291210","Physicians","true","true",9111,273206.1565141038,50512.88305470376,2343.391098823159,475,"Math & Statistics","27"
2021,"2021","1191XX","Other managers","true","true",31169,159239.50771599988,18409.607687125663,4334.023932742614,1562,"Math & Statistics","27"
2021,"2021","151252","Software developers","true","true",49770,146834.53196704842,11631.3213152992,5476.29580187944,2576,"Math & Statistics","27"
2021,"2021","172051","Civil engineers","true","true",2463,114971.15834348356,38579.15607071991,1218.437951549866,137,"Math & Statistics","27"
2021,"2021","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",6295,141854.01922160445,28487.2014162023,1947.8861106898755,317,"Math & Statistics","27"
